ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
31882,32,8908,f,lid://infor.ln.ln_ba,,1899
31882,33,8909,f,lid://infor.ln.ln_ba,,1899
31882,34,8910,f,lid://infor.ln.ln_ba,,1899
31882,35,8911,f,lid://infor.ln.ln_ba,,1899
31882,74,8912,f,lid://infor.ln.ln_ba,,1899
31882,75,8913,f,lid://infor.ln.ln_ba,,1899
31882,77,8914,f,lid://infor.ln.ln_ba,,1899
31882,83,8970,f,lid://infor.ln.ln_ba,,1768
31882,85,8971,f,lid://infor.ln.ln_ba,,1768
31882,87,8972,f,lid://infor.ln.ln_ba,,1768
31882,89,8973,f,lid://infor.ln.ln_ba,,1768
31882,91,8974,f,lid://infor.ln.ln_ba,,1768
31882,93,8975,f,lid://infor.ln.ln_ba,,1768
31882,95,8976,f,lid://infor.ln.ln_ba,,1768
31882,97,8977,f,lid://infor.ln.ln_ba,,1768
31882,99,8978,f,lid://infor.ln.ln_ba,,1768
31882,101,8979,f,lid://infor.ln.ln_ba,,1768
31882,103,8980,f,lid://infor.ln.ln_ba,,1768
31882,105,8981,f,lid://infor.ln.ln_ba,,1768
31886,109,11476,t,lid://infor.ln.ln_sd1,,17727
31886,109,11477,t,lid://infor.ln.ln_sd1,,17937
1987,109,11423,t,lid://infor.ln.ln_sd1,,17765
1909,109,11308,t,lid://infor.ln.ln_sd1,,17831
1987,109,11426,t,lid://infor.ln.ln_sd1,,17494
1967,109,11345,t,lid://infor.ln.ln_sd1,,17709
1967,109,11346,t,lid://infor.ln.ln_sd1,,17162
1967,109,11347,t,lid://infor.ln.ln_sd1,,17661
1967,109,11348,t,lid://infor.ln.ln_sd1,,17717
1967,109,11349,t,lid://infor.ln.ln_sd1,,17765
1967,109,11350,t,lid://infor.ln.ln_sd1,,17331
1967,109,11351,t,lid://infor.ln.ln_sd1,,17673
1967,109,11352,t,lid://infor.ln.ln_sd1,,17825
1967,109,11353,t,lid://infor.ln.ln_sd1,,17351
1967,109,11354,t,lid://infor.ln.ln_sd1,,17811
1967,109,11355,t,lid://infor.ln.ln_sd1,,17494
1967,109,11356,t,lid://infor.ln.ln_sd1,,17510
1967,109,11357,t,lid://infor.ln.ln_sd1,,17526
1967,109,11358,t,lid://infor.ln.ln_sd1,,17566
1967,109,11359,t,lid://infor.ln.ln_sd1,,17598
1967,109,11360,t,lid://infor.ln.ln_sd1,,17438
1967,109,11361,t,lid://infor.ln.ln_sd1,,17446
1967,109,11362,t,lid://infor.ln.ln_sd1,,17462
1967,109,11363,t,lid://infor.ln.ln_sd1,,17470
1967,109,11364,t,lid://infor.ln.ln_sd1,,17478
1967,109,11365,t,lid://infor.ln.ln_sd1,,17486
1967,109,11366,t,lid://infor.ln.ln_sd1,,17622
1967,109,11367,t,lid://infor.ln.ln_sd1,,17631
1967,109,11368,t,lid://infor.ln.ln_sd1,,17671
1967,109,11369,t,lid://infor.ln.ln_sd1,,17695
1967,109,11370,t,lid://infor.ln.ln_sd1,,17703
1967,109,11371,t,lid://infor.ln.ln_sd1,,17149
