ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
31882,34,8728,f,lid://infor.ln.ln_ba,,4041
31882,35,8729,f,lid://infor.ln.ln_ba,,4041
31882,74,8730,f,lid://infor.ln.ln_ba,,4041
31882,75,8731,f,lid://infor.ln.ln_ba,,4041
31882,27,8720,f,lid://infor.ln.ln_ba,,4041
31882,28,8721,f,lid://infor.ln.ln_ba,,4041
31882,29,8722,f,lid://infor.ln.ln_ba,,4041
31882,30,8723,f,lid://infor.ln.ln_ba,,4041
31882,31,8724,f,lid://infor.ln.ln_ba,,4041
31882,17,8725,f,lid://infor.ln.ln_ba,,4041
31882,79,8915,f,lid://infor.ln.ln_ba,,1899
31882,87,8919,f,lid://infor.ln.ln_ba,,1899
31882,89,8920,f,lid://infor.ln.ln_ba,,1899
31882,91,8921,f,lid://infor.ln.ln_ba,,1899
31882,93,8922,f,lid://infor.ln.ln_ba,,1899
31882,95,8923,f,lid://infor.ln.ln_ba,,1899
31882,97,8924,f,lid://infor.ln.ln_ba,,1899
31882,99,8925,f,lid://infor.ln.ln_ba,,1899
31882,107,8926,f,lid://infor.ln.ln_ba,,1899
31882,101,8927,f,lid://infor.ln.ln_ba,,1899
31882,103,8928,f,lid://infor.ln.ln_ba,,1899
31882,105,8929,f,lid://infor.ln.ln_ba,,1899
31882,36,8930,f,lid://infor.ln.ln_ba,,1899
31882,37,8931,f,lid://infor.ln.ln_ba,,1899
31882,38,8932,f,lid://infor.ln.ln_ba,,1899
31882,39,8933,f,lid://infor.ln.ln_ba,,1899
31882,40,8934,f,lid://infor.ln.ln_ba,,1899
31882,41,8935,f,lid://infor.ln.ln_ba,,1899
793,110,994,f,lid://infor.ln.ln_sd1,,10458
793,112,995,f,lid://infor.ln.ln_sd1,,10458
793,109,996,f,lid://infor.ln.ln_sd1,,10458
32019,85,9724,f,lid://infor.ln.ln_ba,,4041
31882,77,8732,f,lid://infor.ln.ln_ba,,4041
32019,87,9725,f,lid://infor.ln.ln_ba,,4041
1296,110,1009,t,lid://infor.ln.ln_sd1,,10458
1296,112,1010,t,lid://infor.ln.ln_sd1,,10458
1296,109,1011,t,lid://infor.ln.ln_sd1,,10458
32019,89,9726,f,lid://infor.ln.ln_ba,,4041
32019,91,9727,f,lid://infor.ln.ln_ba,,4041
32019,93,9728,f,lid://infor.ln.ln_ba,,4041
32019,95,9729,f,lid://infor.ln.ln_ba,,4041
31882,79,8733,f,lid://infor.ln.ln_ba,,4041
31882,81,8734,f,lid://infor.ln.ln_ba,,4041
